+664563340.0ns;54;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:a7;166;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:a7;166;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.8139;true
+665723360.0ns;137;14;905;1;128;false;166;00:00:00:00:00:a7;166;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:a7;166;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.8139;false
+667171356.0ns;89;75;905;1;131;false;189;00:00:00:00:00:be;189;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:be;189;00:00:00:00:00:c9;200;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.6012;false
+668331372.0ns;138;14;905;1;128;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-91.6012;false
+672675374.0ns;21;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:a0;159;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:a0;159;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-88.9718;true
+673835386.0ns;140;14;905;1;128;false;159;00:00:00:00:00:a0;159;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:a0;159;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.9718;false
+675431414.0ns;55;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:b7;182;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:b7;182;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.6596;true
+676591434.0ns;142;14;905;1;128;false;182;00:00:00:00:00:b7;182;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:b7;182;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.6596;false
+678187444.0ns;28;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:76;117;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:76;117;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-91.0735;true
+679347459.0ns;144;14;905;1;128;false;117;00:00:00:00:00:76;117;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:76;117;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.0735;false
+680795468.0ns;91;75;905;1;131;false;12;00:00:00:00:00:0d;12;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:0d;12;00:00:00:00:00:c9;200;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-79.2311;false
+681955492.0ns;145;14;905;1;128;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-98.2825;-95.2311;false
+683551525.0ns;51;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:6a;105;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:6a;105;OfdmRate1_2MbpsBW1MHz;3;0;1;false;false;0;-113.976;-93.5804;true
+684711545.0ns;147;14;905;1;128;false;105;00:00:00:00:00:6a;105;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:6a;105;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.5804;false
